UUID,Japanese,English,KitsunekkoID,MyAnimeListID
07e5e790-40b9-4698-b325-04fa580f2db8,ガンダムビルドファイターズ,Gundam Build Fighters,Gundam_Build_Fighters,19319
bc4f0d7a-3ae8-4057-97db-9be1a970208d,ガンダムビルドファイターズトライ,Gundam Build Fighters Try,Gundam_Build_Fighters_Try,24625
c5c3a4c5-95ab-462d-bef7-9c76c47db698,ガンツ,Gantz,Gantz,384
0bf40148-fa0d-4e96-925d-7faae7994e49,ガーリッシュ ナンバー,Girlish Number,Girlish_Number,32607
05db1bb1-bb95-4b03-a740-2146ea6e5bd3,ガールズ&パンツァー,Girls & Panzer,Girls und Panzer,14131
730a0cb7-2188-409d-8431-cb27028d211c,キカイダー０１　THE ANIMATION,Kikaider 01: The Animation,Kikaider_01,1768
23f7177f-24c0-40b4-a771-144b2f60829e,キテレツ大百科,Kiteretsu Encyclopedia,Kiteretsu,6509
4a2399c7-962c-49ed-8dad-6db7766b6e66,キノの旅 -the Beautiful World-,Kino's Journey,Kino no Tabi,486
c382fc67-e452-40e3-8ba0-4bb4d7390ba3,キャロル&チューズデイ,Carole & Tuesday,Carole & Tuesday,37435
20b45fa9-fca0-4a1f-b6f1-0bb306ddf6de,キラキラ☆プリキュアアラモード,Kirakira☆Precure A La Mode,Kirakira_PreCure_A_La_Mode,34290
6f0dc17c-8243-429e-b1dc-4d6b157b7c9e,キラッとプリ☆チャン,Kiratto Pri☆chan,Kiratto Prichan,37178
7e629332-a1d6-4f33-a57c-496939ade69e,キルラキル,KILL la KILL,Kill La Kill,18679
277d17fa-84da-4904-bd4b-979422ead1a2,キングダム,Kingdom,Kingdom,12031
0d5bcb8c-151c-41ee-b319-ec928e3eeba9,キングダム 第3シリーズ,Kingdom Season 3,Kingdom_S3,40682
87abe868-2670-4f18-af33-bbc8ff41e562,クジラの子らは砂上に歌う,Children of the Whales,Kujira no Kora wa Sajou ni Utau,34712
137810b9-3d87-4b72-9779-f2fda1ed2da2,クズの本懐,Scum's Wish,Kuzu no Honkai,32949
2817a88c-e955-46b4-aea5-a5055462ccb9,クレヨンしんちゃん,Shin Chan,Crayon_Shin-chan,966
3b8b7753-c14b-4b9c-b259-8c3e05811d96,クロスアンジュ 天使と竜の輪舞〈ロンド〉,Cross Ange: Rondo of Angel and Dragon,Cross Ange Tenshi to Ryuu no Rondo,25731
547ef48f-a6e4-484d-a57f-f9d53b1a086a,クロスファイト ビーダマン,B-Daman Crossfire,Cross_Fight_B-Daman_eS,11177
3008dd85-e830-4c7e-a4d6-410062093654,クロックワーク・プラネット,Clockwork Planet,Clockwork_Planet,32407
168b95eb-60de-4223-9e40-7ebda65e8c8b,グリザイアの果実,The Fruit of Grisaia,Grisaia no Kajitsu,17729
44c79634-9090-473d-9230-eb803a99006b,グリムノーツ,Grimms Notes The Animation,Grimms Notes The Animation,37154
4a443ea6-b663-437b-ac23-f0b1e11d1030,グレイプニル,Gleipnir,Gleipnir,39463
698da215-e6e9-4f17-bba6-aefd00394159,グレートマジンガー,Great Mazinger,Great_Mazinger,5658
3e19e982-7b7c-40c5-9ce3-cb550ba63a4a,ケロロ軍曹,Sgt. Frog,Keroro_Gunsou,516
5a4a8ee9-0fdb-4bbc-9620-141e4fa2da0b,ゲゲゲの鬼太郎,Gegege no Kitarou,GeGeGe no Kitaro,0
472d824e-63f8-4214-8a24-26acfdb446dc,ゲッターロボ,Getter Robo,Getter_Robo,3579
dea229db-fe26-45bc-8641-81fde79425f6,ゲッターロボ號,Getter Robo Go,Getter_Robot_Go,5292
8cbd7988-eef4-42ce-a027-8573b424bd8f,ゲド戦記,Tales from Earthsea,Tales_From_Earthsea,1829
8b76164e-cc08-4722-aeb4-47159ec2f922,コクリコ坂から,From Up on Poppy Hill,From_Up_On_Poppy_Hill,10029
eb329abc-1a70-49b0-a7ed-5d4736ca401f,コクリコ坂から,From Up on Poppy Hill,Kokuriko-zaka Kara,10029
5ebe2321-9118-49d4-b5e8-1c5cf482d584,コードギアス 反逆のルルーシュ,Code Geass: Lelouch of the Rebellion,Code_Geass_Lelouch_Of_The_Rebellion,1575
1a1a79b3-e858-475d-8e7f-968797548b61,ゴブリンスレイヤー,Goblin Slayer,Goblin Slayer,37349
50046da7-e0d8-4f52-a9d8-d843e3c7e4a8,ゴルゴ13,Golgo 13,Golgo_13,4039
70220a9a-173c-4ebd-a21c-0389ebc77739,ゴン,Gon,GON,7867
ca98c82f-9d17-4a7e-af67-3460be12265b,サイコパス,Psycho-Pass,Psycho-Pass,13601
1039f5e9-8423-43ba-833e-f462be9ee9bf,サイコパス,Psycho-Pass,Psycho-Pass_New_Edit_Version,13601
15b0810b-698b-453c-9f54-958d0d777cad,サカサマのパテマ,Patema Inverted,Sakasama no Patema,12477
029d2cad-b667-46ce-ac4b-d48ccf077a15,サザエさん,Mrs. Sazae,Sazae-san,2406
dfe37f5c-93da-4d6d-b638-61488a3767a0,サマーウォーズ,Summer Wars,Summer_Wars,5681
879812f1-7f65-468d-bb85-6f591ea74832,サムライフラメンコ,Samurai Flamenco,Samurai_Flamenco,19365
7fc2d276-4017-44ff-8c36-7291dc3c31cb,シドニアの騎士,Knights of Sidonia,Shidonia_No_Kishi,19775
4e8d4222-6be3-4d9a-98a4-4f400e559a7c,シドニアの騎士 第九惑星戦役,Knights of Sidonia: Battle for Planet Nine,Shidonia_No_Kishi_Daikyuu_Wakusei_Seneki,24893
5d4a68c7-f237-4632-97df-e5312cc609f8,シュタインズ・ゲート ゼロ,Steins;Gate 0,Steins ; Gate 0,30484
1d54b763-4021-400b-b276-e58a44e216b0,ジュエルペット サンシャイン,Jewelpet Sunshine,Jewelpet_Sunshine,10359
fda86331-39e6-41f9-928d-3430a022030c,ジュエルペット ハッピネス,Jewelpet Happiness,Jewelpet_Happiness,17497
f8c9bcab-72b8-4fbd-810a-d976d1354b0e,ジュエルペット マジカルチェンジ,Jewelpet Magical Change,Jewelpet_Magical_Change,30030
c3e51f40-24ff-4409-a138-cff0b0e1632e,ジュエルペットきら☆デコッ!,Jewelpet Kira☆Deco!,Jewelpet_Kira_Deco!,12963
